pair,pixel,fourier,curvature,centroid,texture,total
6.bottom - 13.top,0.20814659,0.2564139024065776,1.0,0.3892094159662212,0.30718421625974063,0.27152289804523005
6.right - 14.left,0.18286647,0.23363350514764808,1.0,0.1983861191599439,0.3356889017808578,0.2448580794391245
6.bottom - 14.top,0.4078198,0.32848452003584405,1.0,0.3892182522190683,0.3761323036573808,0.42539644832996154
6.right - 15.left,0.2834267,0.3545123618369689,1.0,0.22671541725321936,0.2724332361695117,0.322429025059328
6.bottom - 15.top,0.6392624,0.3521072793773078,1.0,0.47168228846834515,0.36589310526700963,0.5928678116784374
7.right - 0.left,0.18265639,0.35166515624204886,1.0,0.4017103940156984,0.2844039739177727,0.2615519059452217
7.bottom - 0.top,0.1872549,0.21779920462196461,1.0,0.44693165726851336,0.3112060011764924,0.2563255404139821
7.right - 1.left,0.17222223,0.3924853397765971,1.0,0.2237686989635723,0.3814878871861662,0.2591413149550361
7.bottom - 1.top,0.28935573,0.182273458121549,0.9499495192495454,0.4390590196597291,0.35490601244645426,0.32571738451747706
7.right - 2.left,0.035504203,0.3050254442839712,1.0,0.06237868077783699,0.29455171822039566,0.13792959296468066
7.bottom - 2.top,0.15056022,0.5039042801444091,1.0,0.36581359198136454,0.3270164515963725,0.2567749033540294
7.right - 3.left,0.19157329,0.25446724465787096,1.0,0.2812086128107589,0.34685405069754527,0.25829386160773543
7.bottom - 3.top,0.12885155,0.33333032173497884,1.0,0.30598475221442656,0.3563235430209396,0.22446070459216114
7.right - 4.left,0.09045284,0.3006874303328855,0.9583254692066503,0.06719985156087271,0.30161412102400886,0.17482340713884068
7.bottom - 4.top,0.16388889,0.15384128792308213,1.0,0.40594287888818964,0.3980872819195713,0.24021222301844228
7.right - 5.left,0.45611578,0.39144237291930206,1.0,0.35075553003536925,0.26856552092601005,0.45281960750846156
7.bottom - 5.top,0.18646125,0.296464037894787,1.0,0.2915562019684806,0.3711336453800469,0.2618604554038279
7.right - 6.left,0.074206345,0.397741895461706,1.0,0.10718653451177,0.27955605498069275,0.17503356386320074
7.bottom - 6.top,0.15978059,0.5462280234726579,1.0,0.329770944098374,0.4095061408372638,0.27390837337397467
7.right - 8.left,0.19586836,0.29995326673230777,1.0,0.22964660126106018,0.3410333797284376,0.2626888438302213
7.bottom - 8.top,0.08027544,0.052196368956166216,1.0,0.17357619998137844,0.3049621370210761,0.15058746845001506
7.right - 9.left,0.21916434,0.3278558891730293,0.9614504600261028,0.26036791600000336,0.3434677172841505,0.28163831862873256
7.bottom - 9.top,0.14675537,0.14035442177698698,1.0,0.4182688548577612,0.3447069609794319,0.22214833530052763
7.right - 10.left,0.2044351,0.28260218459755876,1.0,0.23085788537047985,0.3277697233057738,0.2656846531826747
7.bottom - 10.top,0.18860878,0.13206053188876643,0.8903119911946614,0.35093102174387103,0.37948209850988496,0.24524256450943122
7.right - 11.left,0.08886555,0.28321077248088267,1.0,0.07186106275080327,0.23866419698341584,0.16798643468961616
7.bottom - 11.top,0.19084968,0.3842379154376346,1.0,0.4205211822041546,0.346128710190344,0.277657487932199
7.right - 12.left,0.103338,0.4499757113319355,1.0,0.0686839844119499,0.33067204759088886,0.20383557434364624
7.bottom - 12.top,0.18667133,0.3198802178140097,1.0,0.41016457266798395,0.39365568742455836,0.2725317556949986
7.right - 13.left,0.042717088,0.3407263893773713,1.0,0.10978399525463131,0.3270945311344362,0.15217325267857543
7.bottom - 13.top,0.18373016,0.4318545300443352,1.0,0.4003927702620591,0.33824912772599514,0.2756411069903695
